iter	Passed	Remaining
941	3348	206
942	3353	202
943	3356	199
944	3359	195
945	3361	191
946	3364	188
947	3370	184
948	3373	181
949	3376	177
950	3378	174
951	3381	170
952	3385	166
953	3388	163
954	3390	159
955	3393	156
956	3395	152
957	3399	149
958	3401	145
959	3404	141
960	3406	138
961	3409	134
962	3413	131
963	3417	127
964	3421	124
965	3424	120
966	3427	116
967	3430	113
968	3433	109
969	3435	106
970	3438	102
971	3440	99
972	3443	95
973	3447	92
974	3449	88
975	3451	84
976	3454	81
977	3458	77
978	3462	74
979	3464	70
980	3467	67
981	3469	63
982	3473	60
983	3476	56
984	3479	52
985	3481	49
986	3484	45
987	3486	42
988	3489	38
989	3493	35
990	3495	31
991	3497	28
992	3500	24
993	3503	21
994	3506	17
995	3510	14
996	3512	10
997	3515	7
998	3517	3
999	3520	0
